ai_asset_id,asset_type,name,tool,model_or_version,generated_at_utc,prompt,reference_images,license_or_terms_url,commercial_use_review,content_id,scene_id,local_filename,sha256,status,notes
AI-ASSET-0001,image,Creation light,Arena image generation,model/version not exposed by tool,2026-09-02,"Cinematic documentary concept art, wide 16 by 9 composition. A dark primordial ocean under a vast starless sky as the first warm light breaks over the horizon, mist and subtle rays across water. No people, no text, no watermark, no modern objects. Photoreal atmospheric texture, restrained color palette, suitable as an illustrative opening for an ancient creation narrative, not a scientific diagram.",,not documented in project; verify Arena terms before final use,pending,GENESIS-001,SCN-GENESIS-001-03,assets/generated/GENESIS-001/AI-ASSET-0001_creation-light_v01.png,ea4e48cc515b7cc243d30112126159c52481d9271f5b243ca0cfae44caaac1a0,candidate,Illustrative creation atmosphere only. Visual review passed for candidate use; commercial terms of generation environment remain pending. PNG dimensions: 1376x768; bytes: 2006633.
AI-ASSET-0002,image,"Garden limit, initial version",Arena image generation,model/version not exposed by tool,2026-09-02,"Cinematic documentary concept art, wide 16 by 9 composition. A lush ancient garden at dawn, a path between two distinctive but non-symbolic trees, two anonymous human silhouettes seen only from behind at a distance, no recognizable faces. Soft shafts of light, natural water, thoughtful restrained mood. No text, no watermark, no modern objects, no explicit religious iconography. This is an illustrative reconstruction, not historical evidence.",,not documented in project; verify Arena terms before final use,pending,GENESIS-001,SCN-GENESIS-001-04,assets/generated/GENESIS-001/AI-ASSET-0002_garden-limit_v01.png,e80a0304bcdb47dffe2889f4561490604ed158870db6007bf0fb53612f06f50c,rejected,"Visual review rejected: generated image included built/ruin-like structures, conflicting with the requested unbuilt garden. Superseded by AI-ASSET-0007. PNG dimensions: 1376x768; bytes: 2883548."
AI-ASSET-0003,image,Storm and ark silhouette,Arena image generation,model/version not exposed by tool,2026-09-02,"Cinematic documentary concept art, wide 16 by 9 composition. Dark storm clouds, rain over vast water, a large simple wooden vessel far away in silhouette, viewed from a low distant angle. No people, no animals, no text, no watermark, no modern objects. Moody but not disaster spectacle, historically non-specific illustrative reconstruction for a flood narrative.",,not documented in project; verify Arena terms before final use,pending,GENESIS-001,SCN-GENESIS-001-07;SCN-GENESIS-001-08,assets/generated/GENESIS-001/AI-ASSET-0003_storm-ark_v01.png,edca22eba4d3e48543c73ad619901c5e62f4f1a4abc61b407da52057d14b0a84,candidate,"Illustrative reconstruction only; never present vessel, weather, location or scale as archaeological/historical proof. PNG dimensions: 1376x768; bytes: 2140720."
AI-ASSET-0004,image,Babel city and unfinished tower,Arena image generation,model/version not exposed by tool,2026-09-02,"Cinematic documentary concept art, wide 16 by 9 composition. An ancient mudbrick city on a broad plain with an unfinished stepped tower, tiny anonymous worker silhouettes at a great distance, dusty golden afternoon light. No recognizable faces, no text, no watermark, no modern buildings, no flags. Visually restrained illustrative reconstruction for a tower and dispersion narrative, not archaeology.",,not documented in project; verify Arena terms before final use,pending,GENESIS-001,SCN-GENESIS-001-09,assets/generated/GENESIS-001/AI-ASSET-0004_babel-city_v01.png,88526bf768bf3ee1fad9377dd06334f6e6db73f99dccddacafbc0e449ab404fe,candidate,Illustrative reconstruction only; do not identify site or treat architecture/scale as recovered fact. PNG dimensions: 1376x768; bytes: 2661663.
AI-ASSET-0005,image,Patriarch journey,Arena image generation,model/version not exposed by tool,2026-09-02,"Cinematic documentary concept art, wide 16 by 9 composition. A small group of anonymous travelers with tents and pack animals moving across a broad desert ridge at sunrise, viewed from far behind, no recognizable faces. Earth tones, quiet sense of journey and promise, historically non-specific. No text, no watermark, no modern objects, no religious symbol. An illustrative reconstruction only.",,not documented in project; verify Arena terms before final use,pending,GENESIS-001,SCN-GENESIS-001-10;SCN-GENESIS-001-14;SCN-GENESIS-001-15;SCN-GENESIS-001-20,assets/generated/GENESIS-001/AI-ASSET-0005_patriarch-journey_v01.png,c91431c8d12d247821ecf7c373db3da9a7aaf80b4d4d457665eece77d7f4d12c,candidate,"Anonymous, non-specific visual coverage for travel. No claim of a precise route, people or period. PNG dimensions: 1376x768; bytes: 2696194."
AI-ASSET-0006,image,Grain storehouse,Arena image generation,model/version not exposed by tool,2026-09-02,"Cinematic documentary concept art, wide 16 by 9 composition. Close cinematic still life of sacks of grain, linen, clay storage jars and strong sunlight cutting through the doorway of a large ancient storehouse. No people, no text, no watermark, no logos, no modern objects, no readable hieroglyphs. Historically non-specific illustrative reconstruction for a famine and grain distribution narrative.",,not documented in project; verify Arena terms before final use,pending,GENESIS-001,SCN-GENESIS-001-01;SCN-GENESIS-001-17;SCN-GENESIS-001-18;SCN-GENESIS-001-22,assets/generated/GENESIS-001/AI-ASSET-0006_grain-egypt_v01.png,b6d6fd2067e991d89d9e6a586d381e7d44e7522e668b4b93560167e2f9954fd2,candidate,"Illustrative material culture, not evidence of a specific Egyptian storehouse or administrative practice. PNG dimensions: 1376x768; bytes: 2617031."
AI-ASSET-0007,image,"Garden limit, revised version",Arena image generation,model/version not exposed by tool,2026-09-02,"Edit this image into a wholly natural, unbuilt garden. Remove every ruin, stone wall, architectural fragment and constructed path. Keep the lush vegetation, quiet stream, dawn light, two anonymous human silhouettes from behind, and two prominent trees. Replace the path with a subtle earth trail. No buildings, no archaeological ruins, no text, no watermark, no modern objects. Maintain wide 16 by 9 cinematic illustrative style.",assets/generated/GENESIS-001/AI-ASSET-0002_garden-limit_v01.png,not documented in project; verify Arena terms before final use,pending,GENESIS-001,SCN-GENESIS-001-04,assets/generated/GENESIS-001/AI-ASSET-0007_garden-limit-revised_v01.png,e16c843ea7f7b2d71157e184c2f2ba792d1daef46077b7ed0125318f40074895,candidate,"Edited from rejected AI-ASSET-0002. Visual review passed for candidate use; remains illustrative, not historical evidence. PNG dimensions: 1376x768; bytes: 2837860."
AI-ASSET-0008,image,Post-exile river journey,Arena image generation,model/version not exposed by tool,2026-09-03,"Reconstructed prompt specification after generation: cinematic documentary concept art, wide 16 by 9; an anonymous cloaked traveler after leaving a garden, beside a misty river at dusk, no visible face, text, watermark or modern object; historically non-specific illustrative reconstruction.",,not documented in project; verify Arena terms before final use,pending,GENESIS-001,SCN-GENESIS-001-05,assets/generated/GENESIS-001/AI-ASSET-0008_garden-exile_v01.png,b5999c43839cf7912d9fbfc59ee512dd328382556174bb34f1b89d04b3f33cf0,candidate,"Visual review passed only as an atmospheric image for life outside the garden; it does not depict the serpent, a named person, cherubim or a literal garden exit. Initial request text was not retained persistently; prompt field is a reconstructed specification. PNG dimensions: 1376x768; bytes: 2455396."
AI-ASSET-0009,image,Brothers field,Arena image generation,model/version not exposed by tool,2026-09-03,"Reconstructed prompt specification after generation: cinematic documentary concept art, wide 16 by 9; a broad field at sunrise with distant anonymous shepherd, flock, farmer and oxen, no violence or visible faces, text, watermark or modern objects; historically non-specific illustrative reconstruction.",,not documented in project; verify Arena terms before final use,pending,GENESIS-001,SCN-GENESIS-001-06,assets/generated/GENESIS-001/AI-ASSET-0009_brothers-field_v01.png,ad2c8c1d6b5455632cd685b4b0165fe6709a56d2abadb481939f275d238dc9bd,candidate,"Visual review passed as non-graphic field/rebanho coverage. It should not imply a precise location, motive for the offerings or the murder itself. Initial request text was not retained persistently; prompt field is a reconstructed specification. PNG dimensions: 1376x768; bytes: 2596857."
AI-ASSET-0010,image,After-storm covenant landscape,Arena image generation,model/version not exposed by tool,2026-09-03,"Reconstructed prompt specification after generation: cinematic documentary concept art, wide 16 by 9; an open wet valley after a storm, sun breaking through clouds and a natural rainbow, no ark, people, text, watermark or modern object; restrained historically non-specific illustrative reconstruction.",,not documented in project; verify Arena terms before final use,pending,GENESIS-001,SCN-GENESIS-001-08,assets/generated/GENESIS-001/AI-ASSET-0010_after-storm-covenant_v01.png,72e718af061373c6fae28e65ff3416205d826c50d409caadbba31fdf555340b8,candidate,"Visual review passed for the post-storm/arc-in-clouds line only. It is illustrative atmosphere, not a claim about flood geography, a specific ark location or the physical mechanism of the sign. Initial request text was not retained persistently; prompt field is a reconstructed specification. PNG dimensions: 1376x768; bytes: 2620721."
AI-ASSET-0011,image,"Mountain test, initial version",Arena image generation,model/version not exposed by tool,2026-09-03,"Reconstructed prompt specification after generation: cinematic documentary concept art, wide 16 by 9; two anonymous travelers climbing a mountain with a wood bundle and a distant ram, no visible faces, violence, text, watermark or modern objects; historically non-specific illustrative reconstruction.",,not documented in project; verify Arena terms before final use,pending,GENESIS-001,SCN-GENESIS-001-13,assets/generated/GENESIS-001/AI-ASSET-0011_mountain-test_v01.png,f8cf328e810c9f3a7d3e66b2aabf922ab4cd97831b820d34a8e57d1999ccc37e,rejected,"Visual review rejected: snowbound alpine geography was too specific and conflicts with the deliberately non-specific, semiarid visual treatment requested for this scene. Superseded by AI-ASSET-0015. Initial request text was not retained persistently; prompt field is a reconstructed specification. PNG dimensions: 1376x768; bytes: 2312002."
